Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,description,published_at
487,1,0.9726999998092651,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
481,1,0.9726999998092651,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
483,1,0.968999981880188,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
521,1,0.9678999781608582,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
411,1,0.9678000211715698,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
471,1,0.96670001745224,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
463,1,0.96670001745224,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
420,1,0.96670001745224,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
458,1,0.965399980545044,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
482,1,0.9624999761581421,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
493,1,0.9609000086784363,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
474,1,0.9591000080108643,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
466,1,0.9591000080108643,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
378,1,0.957099974155426,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
495,1,0.957099974155426,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
447,1,0.957099974155426,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
479,1,0.957099974155426,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
469,1,0.9549999833106995,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
475,1,0.9549999833106995,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
478,1,0.9549999833106995,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
433,1,0.9549999833106995,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
422,1,0.9526000022888184,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
427,1,0.9526000022888184,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
464,1,0.9526000022888184,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
480,1,0.9526000022888184,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
452,1,0.9526000022888184,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
468,1,0.9526000022888184,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
492,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
484,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
371,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
477,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
476,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
459,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
505,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
419,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
542,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
465,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
485,1,0.949999988079071,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
449,1,0.9470999836921692,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
537,1,0.9470999836921692,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
525,1,0.9470999836921692,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
517,1,0.9470000267028809,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
529,1,0.9470000267028809,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
445,1,0.9470000267028809,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
372,1,0.9470000267028809,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
513,1,0.9470000267028809,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
467,1,0.9437000155448914,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
456,1,0.9437000155448914,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
424,1,0.9437000155448914,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
385,1,0.9437000155448914,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
414,1,0.9437000155448914,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
503,1,0.9437000155448914,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
431,1,0.9437000155448914,"운동, 루틴, 진행, 것, 데드리프트, 위주, 등, 중, 스쿼트, 유튜브",,
